# Source: https://www.digitaldutch.com/atmoscalc/table.htm
Altitude [m],Temperature [K],Pressure [Pa],Density [kg m-3],Speed of sound [m s-1],Viscosity [Pa s]
-5000,320.65,177687,1.93047,358.972,1.97023E-05
-4900,320,175802,1.91387,358.608,1.96714E-05
-4800,319.35,173933,1.89738,358.244,1.96405E-05
-4700,318.7,172081,1.881,357.879,1.96096E-05
-4600,318.05,170244,1.86472,357.514,1.95787E-05
-4500,317.4,168423,1.84856,357.148,1.95477E-05
-4400,316.75,166618,1.8325,356.782,1.95167E-05
-4300,316.1,164829,1.81655,356.416,1.94856E-05
-4200,315.45,163055,1.80071,356.049,1.94545E-05
-4100,314.8,161297,1.78497,355.682,1.94234E-05
-4000,314.15,159554,1.76933,355.315,1.93923E-05
-3900,313.5,157827,1.75381,354.947,1.93611E-05
-3800,312.85,156115,1.73838,354.579,1.93299E-05
-3700,312.2,154417,1.72306,354.211,1.92987E-05
-3600,311.55,152735,1.70785,353.842,1.92674E-05
-3500,310.9,151068,1.69273,353.472,1.92362E-05
-3400,310.25,149415,1.67772,353.103,1.92048E-05
-3300,309.6,147777,1.66282,352.733,1.91735E-05
-3200,308.95,146154,1.64801,352.362,1.91421E-05
-3100,308.3,144545,1.6333,351.991,1.91107E-05
-3000,307.65,142950,1.6187,351.62,1.90792E-05
-2900,307,141370,1.60419,351.248,1.90477E-05
-2800,306.35,139804,1.58979,350.876,1.90162E-05
-2700,305.7,138252,1.57548,350.504,1.89847E-05
-2600,305.05,136714,1.56127,350.131,1.89531E-05
-2500,304.4,135190,1.54717,349.758,1.89215E-05
-2400,303.75,133679,1.53315,349.384,1.88898E-05
-2300,303.1,132183,1.51924,349.01,1.88582E-05
-2200,302.45,130699,1.50542,348.636,1.88265E-05
-2100,301.8,129230,1.4917,348.261,1.87947E-05
-2000,301.15,127774,1.47808,347.886,1.8763E-05
-1900,300.5,126331,1.46455,347.51,1.87311E-05
-1800,299.85,124901,1.45111,347.134,1.86993E-05
-1700,299.2,123485,1.43777,346.757,1.86674E-05
-1600,298.55,122081,1.42452,346.381,1.86355E-05
-1500,297.9,120691,1.41137,346.003,1.86036E-05
-1400,297.25,119313,1.39831,345.626,1.85716E-05
-1300,296.6,117948,1.38535,345.248,1.85396E-05
-1200,295.95,116596,1.37247,344.869,1.85076E-05
-1100,295.3,115256,1.35969,344.49,1.84755E-05
-1000,294.65,113929,1.347,344.111,1.84434E-05
-900,294,112614,1.33439,343.731,1.84113E-05
-800,293.35,111312,1.32188,343.351,1.83791E-05
